Houston,AAC
Central Florida,AAC
Cincinnati,AAC
Connecticut,AAC
Temple,AAC
South Florida,AAC
Tulsa,AAC
Southern Methodist,AAC
East Carolina,AAC
Memphis,AAC
Wichita State,AAC
Tulane,AAC
Virginia,ACC
Boston College,ACC
Duke,ACC
Florida State,ACC
North Carolina State,ACC
Notre Dame,ACC
Pittsburgh,ACC
Virginia Tech,ACC
North Carolina,ACC
Clemson,ACC
Miami (FL),ACC
Georgia Tech,ACC
Louisville,ACC
Syracuse,ACC
Wake Forest,ACC
Stony Brook,AEC
Maryland-Baltimore County,AEC
Vermont,AEC
Massachusetts-Lowell,AEC
Albany (NY),AEC
Binghamton,AEC
New Hampshire,AEC
Hartford,AEC
Maine,AEC
Davidson,A-10
Fordham,A-10
Saint Louis,A-10
Duquesne,A-10
Virginia Commonwealth,A-10
Dayton,A-10
Massachusetts,A-10
Rhode Island,A-10
Saint Joseph's,A-10
George Mason,A-10
Richmond,A-10
St. Bonaventure,A-10
George Washington,A-10
La Salle,A-10
NJIT,A-Sun
Liberty,A-Sun
Lipscomb,A-Sun
Jacksonville,A-Sun
North Florida,A-Sun
North Alabama,A-Sun
Florida Gulf Coast,A-Sun
Kennesaw State,A-Sun
Stetson,A-Sun
Kansas,Big 12
Kansas State,Big 12
Texas Tech,Big 12
Iowa State,Big 12
Oklahoma,Big 12
Texas,Big 12
Texas Christian,Big 12
Baylor,Big 12
Oklahoma State,Big 12
West Virginia,Big 12
St. John's (NY),Big East
Creighton,Big East
Georgetown,Big East
Butler,Big East
DePaul,Big East
Marquette,Big East
Providence,Big East
Villanova,Big East
Seton Hall,Big East
Xavier,Big East
Northern Colorado,Big Sky
Southern Utah,Big Sky
Sacramento State,Big Sky
Montana,Big Sky
Weber State,Big Sky
Idaho State,Big Sky
Portland State,Big Sky
Northern Arizona,Big Sky
Idaho,Big Sky
Montana State,Big Sky
Eastern Washington,Big Sky
Gardner-Webb,Big South
South Carolina Upstate,Big South
Radford,Big South
Longwood,Big South
Campbell,Big South
Charleston Southern,Big South
Winthrop,Big South
High Point,Big South
Presbyterian,Big South
Hampton,Big South
North Carolina-Asheville,Big South
Iowa,Big Ten
Michigan,Big Ten
Maryland,Big Ten
Nebraska,Big Ten
Northwestern,Big Ten
Ohio State,Big Ten
Wisconsin,Big Ten
Minnesota,Big Ten
Rutgers,Big Ten
Indiana,Big Ten
Michigan State,Big Ten
Purdue,Big Ten
Penn State,Big Ten
Illinois,Big Ten
UC-Irvine,Big West
UC-Santa Barbara,Big West
Hawaii,Big West
Cal Poly,Big West
Cal State Fullerton,Big West
Long Beach State,Big West
UC-Davis,Big West
UC-Riverside,Big West
Cal State Northridge,Big West
College of Charleston,CAA
Delaware,CAA
James Madison,CAA
Hofstra,CAA
North Carolina-Wilmington,CAA
Drexel,CAA
Elon,CAA
Northeastern,CAA
Towson,CAA
William & Mary,CAA
North Texas,CUSA
Florida International,CUSA
Florida Atlantic,CUSA
Marshall,CUSA
Alabama-Birmingham,CUSA
Southern Mississippi,CUSA
Louisiana Tech,CUSA
Old Dominion,CUSA
Western Kentucky,CUSA
Middle Tennessee,CUSA
Charlotte,CUSA
Rice,CUSA
Texas-El Paso,CUSA
Texas-San Antonio,CUSA
Northern Kentucky,Horizon
IUPUI,Horizon
Green Bay,Horizon
Wright State,Horizon
Detroit Mercy,Horizon
Illinois-Chicago,Horizon
Oakland,Horizon
Youngstown State,Horizon
Milwaukee,Horizon
Cleveland State,Horizon
Pennsylvania,Ivy
Brown,Ivy
Princeton,Ivy
Cornell,Ivy
Harvard,Ivy
Yale,Ivy
Dartmouth,Ivy
Columbia,Ivy
Rider,MAAC
Niagara,MAAC
Quinnipiac,MAAC
Iona,MAAC
Manhattan,MAAC
Marist,MAAC
Fairfield,MAAC
Siena,MAAC
Saint Peter's,MAAC
Canisius,MAAC
Monmouth,MAAC
Buffalo,MAC (East)
Kent State,MAC (East)
Akron,MAC (East)
Ohio,MAC (East)
Bowling Green State,MAC (East)
Miami (OH),MAC (East)
Central Michigan,MAC (West)
Toledo,MAC (West)
Ball State,MAC (West)
Northern Illinois,MAC (West)
Western Michigan,MAC (West)
Eastern Michigan,MAC (West)
Howard,MEAC
Norfolk State,MEAC
Bethune-Cookman,MEAC
North Carolina Central,MEAC
Morgan State,MEAC
Savannah State,MEAC
Florida A&M,MEAC
North Carolina A&T,MEAC
Delaware State,MEAC
Maryland-Eastern Shore,MEAC
South Carolina State,MEAC
Coppin State,MEAC
Drake,MVC
Indiana State,MVC
Bradley,MVC
Illinois State,MVC
Loyola (IL),MVC
Southern Illinois,MVC
Valparaiso,MVC
Evansville,MVC
Missouri State,MVC
Northern Iowa,MVC
Nevada,MWC
Utah State,MWC
New Mexico,MWC
Fresno State,MWC
Nevada-Las Vegas,MWC
San Diego State,MWC
Colorado State,MWC
Air Force,MWC
Boise State,MWC
Wyoming,MWC
San Jose State,MWC
Long Island University,NEC
Robert Morris,NEC
St. Francis (NY),NEC
Central Connecticut State,NEC
Fairleigh Dickinson,NEC
Sacred Heart,NEC
Saint Francis (PA),NEC
Wagner,NEC
Bryant,NEC
Mount St. Mary's,NEC
Arizona State,Pac-12
Oregon State,Pac-12
Colorado,Pac-12
Washington State,Pac-12
Arizona,Pac-12
Southern California,Pac-12
UCLA,Pac-12
Washington,Pac-12
Oregon,Pac-12
Stanford,Pac-12
Utah,Pac-12
University of California,Pac-12
American,Patriot
Colgate,Patriot
Lehigh,Patriot
Holy Cross,Patriot
Boston University,Patriot
Bucknell,Patriot
Army,Patriot
Lafayette,Patriot
Navy,Patriot
Loyola (MD),Patriot
Auburn,SEC
Kentucky,SEC
Mississippi State,SEC
Tennessee,SEC
Vanderbilt,SEC
Arkansas,SEC
Alabama,SEC
Louisiana State,SEC
Mississippi,SEC
Florida,SEC
Georgia,SEC
Missouri,SEC
South Carolina,SEC
Texas A&M,SEC
Furman,Southern
North Carolina-Greensboro,Southern
Samford,Southern
East Tennessee State,Southern
Citadel,Southern
Wofford,Southern
Virginia Military Institute,Southern
Mercer,Southern
Chattanooga,Southern
Western Carolina,Southern
Abilene Christian,Southland
Stephen F. Austin,Southland
Texas A&M-Corpus Christi,Southland
Nicholls State,Southland
New Orleans,Southland
Incarnate Word,Southland
Central Arkansas,Southland
Lamar,Southland
Southeastern Louisiana,Southland
Houston Baptist,Southland
Sam Houston State,Southland
McNeese State,Southland
Northwestern State,Southland
South Dakota State,Summit
North Dakota,Summit
Purdue-Fort Wayne,Summit
South Dakota,Summit
Western Illinois,Summit
Omaha,Summit
Oral Roberts,Summit
Denver,Summit
North Dakota State,Summit
Texas State,Sun Belt
Georgia Southern,Sun Belt
Georgia State,Sun Belt
Coastal Carolina,Sun Belt
Louisiana,Sun Belt
Louisiana-Monroe,Sun Belt
Little Rock,Sun Belt
South Alabama,Sun Belt
Texas-Arlington,Sun Belt
Troy,Sun Belt
Appalachian State,Sun Belt
Arkansas State,Sun Belt
Grambling,SWAC
Texas Southern,SWAC
Alabama State,SWAC
Arkansas-Pine Bluff,SWAC
Mississippi Valley State,SWAC
Alcorn State,SWAC
Prairie View,SWAC
Southern,SWAC
Jackson State,SWAC
Alabama A&M,SWAC
New Mexico State,WAC
Seattle,WAC
Utah Valley,WAC
Grand Canyon,WAC
Texas-Rio Grande Valley,WAC
Cal State Bakersfield,WAC
California Baptist,WAC
Missouri-Kansas City,WAC
Chicago State,WAC
Gonzaga,WCC
Loyola Marymount,WCC
San Francisco,WCC
San Diego,WCC
Pepperdine,WCC
Brigham Young,WCC
Pacific,WCC
Portland,WCC
Saint Mary's (CA),WCC
Santa Clara,WCC
Belmont,OVC
Murray State,OVC
Southeast Missouri State,OVC
Jacksonville State,OVC
Tennessee-Martin,OVC
Austin Peay,OVC
Eastern Illinois,OVC
Eastern Kentucky,OVC
Tennessee State,OVC
Morehead State,OVC
Southern Illinois-Edwardsville,OVC
Tennessee Tech,OVC